2,7,Team1-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
4426.359,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,-6.259899E-06,-1.008823E-05,2.723517E-06,1,1,0,0,0,1,1,1,0.05732505,0.002844795,0.01967619,-6.758607E-06,-1.089632E-05,2.937851E-06,1,1,0,0,0,1
4426.41,-73.42165,-58.0925,-228.9782,5.572214E-08,-2.921907E-08,-2.613014E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,2.300268E-08,-1.529065E-08,-1.199447E-08,1,1,0,0,0,1,1,1,0,0,0,3.271944E-08,-1.392841E-08,-1.413568E-08,1,1,0,0,0,1
4426.459,-73.42165,-58.0925,-228.9782,1.21135E-07,6.202374E-08,-5.078568E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,2.906938E-08,3.359871E-08,-1.391771E-08,1,1,0,0,0,1,1,1,0,0,0,3.634349E-08,5.764406E-08,-1.073782E-08,1,1,0,0,0,1
4426.509,-73.42165,-58.0925,-228.9782,3.685027E-08,1.17656E-07,-2.656921E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,-4.062695E-08,1.732149E-08,9.80406E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.365781E-08,3.831075E-08,1.441241E-08,0.9999999,1,0,0,0,1
4426.56,-73.42165,-58.0925,-228.9782,1.280119E-07,1.597795E-07,-7.253554E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,4.632684E-08,1.176044E-08,-2.670668E-08,1,1,0,0,0,1,1,1,0,0,0,4.483478E-08,3.036293E-08,-1.92597E-08,1,1,0,0,0,1
4426.609,-73.42165,-58.0925,-228.9782,1.510039E-07,1.516358E-07,-8.394876E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,1.003683E-08,-2.611321E-08,-1.23053E-08,1,1,0,0,0,1,1,1,0,0,0,1.255945E-08,-1.396464E-09,-4.274878E-09,1,1,0,0,0,1
4426.659,-73.42165,-58.0925,-228.9782,1.612898E-07,1.666709E-07,-6.305561E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,5.538588E-09,2.688342E-08,1.561353E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,5.142972E-09,7.517526E-09,1.044657E-08,0.9999999,1,0,0,0,1
4426.709,-73.42165,-58.0925,-228.9782,1.690449E-07,3.113182E-07,-1.7685E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,3.877539E-09,7.232365E-08,2.268532E-08,1,1,0,0,0,1,1,1,0,0,0,3.877539E-09,7.232365E-08,2.268532E-08,1,1,0,0,0,1
4426.759,-73.42165,-58.0925,-228.9782,2.069956E-07,3.204188E-07,-1.700982E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,2.080112E-08,6.777873E-11,-2.266392E-09,1,1,0,0,0,1,1,1,0,0,0,1.714958E-08,9.032703E-09,2.941536E-09,1,1,0,0,0,1
4426.809,-73.42165,-58.0925,-228.9782,2.931506E-07,3.238917E-07,-6.782138E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.4501252,5.992158,6.133829,1.982893,0.7472087,1.56721,0,1,0,0,0,3.633874E-08,-8.901009E-09,-2.856519E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.981612E-08,1.237395E-08,-2.224639E-08,0.9999999,1,0,0,0,1
