2,7,Thomas-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
256.5971,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.541294E-09,7.373977E-10,2.335061E-09,1,1,0,0,0,1
256.6461,-73.42165,-58.0925,-228.9782,3.95368E-08,-3.387648E-08,-3.099413E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0,0,0,0,0,0,0,1,0,0,0,2.817815E-08,-1.466581E-08,-1.647074E-08,1,1,0,0,0,1,1,1,0,0,0,6.817355E-09,-1.994806E-08,-1.685845E-08,1,1,0,0,0,1
256.6963,-73.42165,-58.0925,-228.9782,1.225631E-07,1.515141E-07,-4.265429E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0,0,0,0,0,0,0,1,0,0,0,3.08413E-08,4.35871E-08,-1.075513E-08,1,1,0,0,0,1,1,1,0,0,0,5.218497E-08,1.418035E-07,-9.050214E-10,1,1,0,0,0,1
256.746,-73.42165,-58.0925,-228.9782,4.238686E-08,2.073799E-07,-1.841402E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0,0,0,0,0,0,0,1,0,0,0,-4.664003E-08,2.966568E-08,1.256077E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-3.353624E-08,2.62001E-08,1.167951E-08,0.9999999,1,0,0,0,1
256.7965,-73.42165,-58.0925,-228.9782,1.112511E-07,2.341795E-07,-5.467733E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,3.562765E-08,3.804427E-09,-2.153876E-08,1,1,0,0,0,1,1,1,0,0,0,3.323652E-08,2.299501E-08,-1.472459E-08,1,1,0,0,0,1
256.8463,-73.42165,-58.0925,-228.9782,1.210005E-07,2.435946E-07,-6.197156E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,1.140032E-08,-5.846195E-10,-3.529191E-09,1,1,0,0,0,1,1,1,0,0,0,-1.650902E-09,9.999623E-09,-3.765026E-09,1,1,0,0,0,1
256.8961,-73.42165,-58.0925,-228.9782,1.316821E-07,2.779956E-07,-3.591145E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,5.538588E-09,2.688342E-08,1.561353E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,5.142972E-09,7.517526E-09,1.044657E-08,0.9999999,1,0,0,0,1
256.9456,-73.42165,-58.0925,-228.9782,1.387806E-07,4.142575E-07,9.75205E-09,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,4.777835E-09,7.174566E-08,2.081102E-08,1,1,0,0,0,1,1,1,0,0,0,2.320658E-09,6.451619E-08,2.485251E-08,1,1,0,0,0,1
256.9966,-73.42165,-58.0925,-228.9782,1.642225E-07,4.714422E-07,2.810406E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,1.776279E-08,2.710508E-08,6.665165E-09,1,1,0,0,0,1,1,1,0,0,0,7.679129E-09,3.007955E-08,1.168681E-08,1,1,0,0,0,1
257.0468,-73.42165,-58.0925,-228.9782,2.565988E-07,4.523025E-07,-3.84614E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,5.201779E-08,-3.120083E-09,-3.397711E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.035842E-08,-1.601955E-08,-3.258841E-08,0.9999999,1,0,0,0,1
257.0964,-73.42165,-58.0925,-228.9782,2.68974E-07,4.718695E-07,-3.444421E-08,1,1,0.1355052,0.2681788,-0.03813066,0.9530292,0,0,0,0,4.46807,0,0,0,0,0,0,0,1,0,0,0,3.345771E-09,1.677467E-08,6.700604E-09,1,1,0,0,0,1,1,1,0,0,0,9.029325E-09,2.792138E-09,-2.683433E-09,1,1,0,0,0,1
