2,8,Time1-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
736.4083,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,7981.473,6965.42,149.9913,20.28358,18.47471,17.17379,16.15944,18.4981,0,1,0.8843828,0.3674716,-0.3914037,6.095547E-08,-2.07902E-07,3.589383E-07,1,1,0,0,0,1,1,1,0,0,0,5.841324E-08,-1.964212E-07,3.473928E-07,1,1,0,0,0,1
736.4576,0,0,0,1.110352E-09,-1.66358E-08,3.600108E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,213.9017,256.7344,248.9309,238.332,217.0779,201.7919,189.8734,217.3528,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,4.900524E-10,-7.361039E-09,1.269351E-09,1,1,0,0,0,1
736.5077,0,0,0,4.092926E-09,-2.671267E-08,-1.040127E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,1.499347E-09,-5.195781E-09,-6.915056E-09,1,1,0,0,0,1,1,1,0,0,0,1.483225E-09,-4.881094E-09,-7.086328E-09,1,1,0,0,0,1
736.5582,0,0,0,7.055474E-09,-3.101227E-08,-4.761435E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1,1,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1
736.608,0,0,0,9.067458E-09,-4.40828E-08,-6.873271E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,1,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1
736.6574,0,0,0,8.62795E-09,-1.641709E-08,-1.265664E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-8.665901E-11,1.394036E-08,-2.687234E-08,1,1,0,0,0,1,1,1,0,0,0,-3.528508E-10,1.372535E-08,-3.096141E-08,1,1,0,0,0,1
736.7076,0,0,0,9.829908E-09,2.140648E-08,-1.88328E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
736.7573,0,0,0,8.879956E-09,4.672766E-08,-2.178075E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,1,1,0,0,0,-3.665767E-10,1.179174E-08,-1.330502E-08,1,1,0,0,0,1
736.8077,0,0,0,3.60274E-09,5.415125E-08,-2.620031E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,241.2083,289.509,280.7092,268.7573,244.79,227.5526,214.1125,245.0999,0,1,0,0,0,-2.747011E-09,4.580635E-09,-2.35325E-08,1,1,0,0,0,1,1,1,0,0,0,-2.530208E-09,2.842953E-09,-2.066307E-08,1,1,0,0,0,1
736.858,0,0,0,-2.141094E-09,5.18667E-08,-3.398874E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,241.2083,289.509,280.7092,268.7573,244.79,227.5526,214.1125,245.0999,0,1,0,0,0,-2.730595E-09,-1.513052E-09,-3.55748E-08,1,1,0,0,0,1,1,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1
