3,3,Time2-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
73.51468,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,13.89188,16.15105,41.335,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5.628581E-10,6.325674E-10,8.085899E-10,1,1,0,0,0,1,2,1,0.07804329,0.1719141,-0.5169952,0.1063723,0.03368963,0.02091998,0.9935327,1,0.05068455,0.03593953,0.2352984,0.9699341
73.56421,0,0,0,1.064391E-08,2.595447E-08,3.737789E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,110.0742,126.3372,309.418,0,1,0,0,0,3.201391E-09,7.311084E-09,1.057745E-08,1,1,0,0,0,1,1,1,0,0,0,3.158403E-09,8.689124E-09,1.259163E-08,1,1,0,0,0,1,2,1,0,0,0,3.721261E-09,9.321691E-09,1.340022E-08,1,1,0,0,0,1
73.61416,0,0,0,1.955338E-08,6.045693E-08,8.653753E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,140.7259,161.4017,394.2908,0,1,0,0,0,2.607132E-09,1.089605E-08,1.543268E-08,1,1,0,0,0,1,1,1,0,0,0,3.738188E-09,1.13323E-08,1.628009E-08,1,1,0,0,0,1,2,1,0,0,0,3.127002E-09,1.290665E-08,1.825545E-08,1,1,0,0,0,1
73.66354,0,0,0,3.232589E-08,7.270291E-08,2.439797E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,140.728,161.4038,394.2925,0,1,0,0,0,3.4901E-09,3.632985E-09,-1.703783E-08,1,1,0,0,0,1,1,1,0,0,0,4.041541E-09,2.061506E-09,-2.286076E-08,1,1,0,0,0,1,2,1,0,0,0,4.678E-09,5.918934E-09,-2.304957E-08,1,1,0,0,0,1
73.71352,0,0,0,4.34553E-08,1.005392E-07,-1.77679E-09,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,145.754,167.1682,408.3744,0,1,0,0,0,3.51559E-09,8.672714E-09,-1.11684E-08,1,1,0,0,0,1,1,1,0,0,0,3.80691E-09,9.581764E-09,-7.503184E-09,1,1,0,0,0,1,2,1,0,0,0,3.80691E-09,9.581764E-09,-7.503184E-09,1,1,0,0,0,1
73.76397,0,0,0,5.3497E-08,1.218369E-07,5.345295E-09,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,3.481609E-09,6.972138E-09,4.387839E-09,1,1,0,0,0,1,1,1,0,0,0,3.280051E-09,7.162787E-09,1.367125E-09,1,1,0,0,0,1,2,1,0,0,0,3.280051E-09,7.162787E-09,1.367125E-09,1,1,0,0,0,1
73.81281,0,0,0,6.273439E-08,1.800864E-07,-1.052952E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,145.754,167.1682,408.3744,0,1,0,0,0,3.131468E-09,2.205689E-08,-3.808896E-08,1,1,0,0,0,1,1,1,0,0,0,2.908708E-09,1.782182E-08,-3.451358E-08,1,1,0,0,0,1,2,1,0,0,0,3.19717E-09,1.837089E-08,-3.803795E-08,1,1,0,0,0,1
73.86336,0,0,0,7.250006E-08,2.08311E-07,-1.135612E-07,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,2.996109E-09,9.380352E-09,-4.180589E-09,1,1,0,0,0,1,1,1,0,0,0,3.499052E-09,9.380352E-09,-4.237693E-09,1,1,0,0,0,1,2,1,0,0,0,3.270505E-09,9.463844E-09,1.523732E-10,1,1,0,0,0,1
73.91317,0,0,0,7.756665E-08,2.204716E-07,-7.542886E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,1.632256E-09,4.410178E-09,9.380955E-09,1,1,0,0,0,1,1,1,0,0,0,2.170573E-09,5.434293E-09,1.924672E-08,1,1,0,0,0,1,2,1,0,0,0,1.263789E-09,2.316079E-09,9.504648E-09,1,1,0,0,0,1
73.96278,0,0,0,8.973705E-08,2.429501E-07,-4.548038E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,4.033777E-09,9.081754E-09,1.228557E-08,1,1,0,0,0,1,1,1,0,0,0,4.622696E-09,6.325674E-09,8.200105E-09,1,1,0,0,0,1,2,1,0,0,0,3.513907E-09,7.071146E-09,9.462799E-09,1,1,0,0,0,1
74.01279,0,0,0,1.016748E-07,2.570849E-07,-2.172834E-08,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,3.196046E-09,5.104162E-09,7.799597E-09,1,1,0,0,0,1,1,1,0,0,0,5.031152E-09,4.122591E-09,8.107919E-09,1,1,0,0,0,1,2,1,0,0,0,3.710572E-09,4.907848E-09,7.844514E-09,1,1,0,0,0,1
74.06322,0,0,0,1.108748E-07,2.797665E-07,-1.172331E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,3.281677E-09,8.376119E-09,4.596473E-09,1,1,0,0,0,1,1,1,0,0,0,3.281677E-09,8.376119E-09,4.596473E-09,1,1,0,0,0,1,2,1,0,0,0,2.636636E-09,5.929259E-09,8.120837E-10,1,1,0,0,0,1
74.11326,0,0,0,1.039647E-07,3.075206E-07,-6.483357E-08,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,-2.646962E-09,9.754613E-09,-1.689548E-08,1,1,0,0,0,1,1,1,0,0,0,-2.681537E-09,6.814022E-09,-2.001364E-08,1,1,0,0,0,1,2,1,0,0,0,-1.581726E-09,1.118552E-08,-1.62011E-08,1,1,0,0,0,1
74.16268,0,0,0,1.193455E-07,3.184272E-07,-4.218409E-08,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,150.78,172.9326,422.4563,0,1,0,0,0,5.545677E-09,3.926277E-09,8.152836E-09,1,1,0,0,0,1,1,1,0,0,0,4.917564E-09,3.490024E-09,7.24832E-09,1,1,0,0,0,1,2,1,0,0,0,4.917564E-09,3.490024E-09,7.24832E-09,1,1,0,0,0,1
