4,8,-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2351.66,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,4732.124,399.4017,207.4592,45.63804,41.56809,38.64101,36.35874,41.62073,0,1,0,0,0,-6.022512E-08,-3.285761E-07,1.578629E-07,1,1,0,0,0,1,1,1,0.7691445,0.3676043,0.3330977,-6.38028E-08,-3.480954E-07,1.672408E-07,1,1,0,0,0,1,2,1,0,0,0,-6.102016E-08,-3.329137E-07,1.599469E-07,1,1,0,0,0,1,3,1,0,0,0,-6.314971E-08,-3.459864E-07,1.681636E-07,1,1,0,0,0,1
2351.71,0,0,0,2.462228E-09,-3.851719E-08,2.402992E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,6.771052E-10,-1.0419E-08,4.81656E-09,1,1,0,0,0,1,1,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,2,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,3,1,0,0,0,5.634928E-10,-8.130512E-09,-1.55052E-10,1,1,0,0,0,1
2351.76,0,0,0,8.508841E-09,-5.871728E-08,-2.142444E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.451978E-09,-4.942522E-09,-1.487252E-08,1,1,0,0,0,1,1,1,0,0,0,1.308025E-09,-5.01901E-09,-1.299328E-08,1,1,0,0,0,1,2,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,3,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1
2351.81,0,0,0,1.436717E-08,-7.205249E-08,-9.618098E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.432012E-09,-3.233577E-09,-2.035202E-08,1,1,0,0,0,1,1,1,0,0,0,1.592087E-09,-3.471776E-09,-2.205999E-08,1,1,0,0,0,1,2,1,0,0,0,1.432012E-09,-3.233577E-09,-2.035202E-08,1,1,0,0,0,1,3,1,0,0,0,1.402211E-09,-3.396347E-09,-1.199244E-08,1,1,0,0,0,1
2351.86,0,0,0,1.897538E-08,-9.543424E-08,-1.295744E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.206041E-09,-6.635553E-09,-1.060879E-08,1,1,0,0,0,1,1,1,0,0,0,1.218073E-09,-5.036521E-09,-5.283501E-09,1,1,0,0,0,1,2,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1,3,1,0,0,0,7.898165E-10,-6.120299E-09,-1.068081E-08,1,1,0,0,0,1
2351.912,0,0,0,1.740565E-08,-3.801562E-08,-2.521332E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1,1,1,0,0,0,-1.978688E-10,1.53264E-08,-3.430161E-08,1,1,0,0,0,1,2,1,0,0,0,-5.606097E-10,1.296337E-08,-2.719226E-08,1,1,0,0,0,1,3,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1
2351.961,0,0,0,1.993454E-08,4.259808E-08,-3.710976E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,104.6753,125.636,121.8172,116.6305,106.2295,98.74928,92.91681,106.3641,0,1,0,0,0,6.26068E-10,1.947661E-08,-3.455706E-08,1,1,0,0,0,1,1,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1,2,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,3,1,0,0,0,6.509221E-10,2.111265E-08,-2.676331E-08,1,1,0,0,0,1
2352.01,0,0,0,1.820297E-08,9.334479E-08,-4.267333E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,104.6753,125.636,121.8172,116.6305,106.2295,98.74929,92.91681,106.3641,0,1,0,0,0,-5.360268E-10,1.282669E-08,-1.015017E-08,1,1,0,0,0,1,1,1,0,0,0,-2.678498E-10,1.2087E-08,-1.346014E-08,1,1,0,0,0,1,2,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1,3,1,0,0,0,-4.430505E-10,1.200833E-08,-1.569583E-08,1,1,0,0,0,1
2352.061,0,0,0,6.039901E-09,1.159585E-07,-5.385618E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,-3.117723E-09,4.988555E-09,-2.951222E-08,1,1,0,0,0,1,1,1,0,0,0,-3.117723E-09,4.988555E-09,-2.951222E-08,1,1,0,0,0,1,2,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1,3,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1
2352.11,0,0,0,-8.874326E-10,1.019699E-07,-6.853774E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,104.6753,125.636,121.8172,116.6305,106.2296,98.74929,92.91681,106.3641,0,1,0,0,0,-2.472626E-09,-2.68547E-09,-3.881027E-08,1,1,0,0,0,1,1,1,0,0,0,-1.655189E-09,-4.363908E-09,-3.601362E-08,1,1,0,0,0,1,2,1,0,0,0,-1.144351E-09,-2.575212E-09,-3.597801E-08,1,1,0,0,0,1,3,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,1,0,0,0,1
