2,3,Vedant-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
177.1025,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
177.1502,0.977,-0.187,-1.75,-1.86261E-09,-6.954188E-10,1.063331E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.402347E-08,-1.434833E-08,5.959051E-09,0.9999997,1,0,0,0,1,1,1,0,0,0,2.216087E-08,1.365291E-08,-4.895726E-09,1,1,0,0,0,1
177.2015,0.977,-0.187,-1.75,7.361228E-08,2.895411E-08,1.047419E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.773745E-08,1.482476E-08,4.705432E-09,1,1,0,0,0,1,1,1,0,0,0,3.773745E-08,1.482476E-08,4.705432E-09,1,1,0,0,0,1
177.2509,0.977,-0.187,-1.75,5.49646E-08,4.309274E-08,2.413695E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.290263E-08,9.755954E-09,2.827389E-09,1,1,0,0,0,1,1,1,0,0,0,-3.155032E-08,4.382675E-09,1.083536E-08,1,1,0,0,0,1
177.3006,0.977,-0.187,-1.75,2.070263E-09,5.25471E-08,4.365656E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,-7.304714E-08,-5.949103E-09,8.592536E-09,1,1,0,0,0,1,1,1,0,0,0,2.01528E-08,1.540347E-08,1.092707E-08,1,1,0,0,0,1
177.3505,0.977,-0.187,-1.75,1.290131E-08,2.687715E-09,2.174505E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,-1.864136E-08,-1.553964E-08,3.290656E-09,1,1,0,0,0,1,1,1,0,0,0,2.947239E-08,-3.431974E-08,-2.520215E-08,1,1,0,0,0,1
177.4021,0.977,-0.187,-1.75,2.168445E-08,-4.133949E-08,9.868584E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,-1.399279E-08,-6.332052E-09,-7.74596E-10,1,1,0,0,0,1,1,1,0,0,0,2.277594E-08,-3.769514E-08,-1.110187E-08,1,1,0,0,0,1
177.4513,0.977,-0.187,-1.75,5.206696E-08,-5.366767E-08,1.387577E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.520371E-08,-6.54092E-09,-8.794871E-09,1,1,0,0,0,1,1,1,0,0,0,5.178779E-09,-5.787245E-09,1.280205E-08,0.9999997,1,0,0,0,1
177.4999,0.977,-0.187,-1.75,1.080241E-07,-2.111875E-08,1.794637E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.883425E-08,2.460242E-08,-9.369588E-10,1,1,0,0,0,1,1,1,0,0,0,1.712291E-08,7.946505E-09,5.007569E-09,1,1,0,0,0,1
177.5517,0.977,-0.187,-1.75,3.078662E-07,3.009382E-08,6.432848E-09,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,7.822141E-08,1.475098E-08,-5.251811E-09,1,1,0,0,0,1,1,1,0,0,0,1.216207E-07,3.646158E-08,-6.26169E-09,1,1,0,0,0,1
