2,7,Vikings-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1742.574,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0.02062315,0.09140401,0.06902325,-0.0001860895,-8.203417E-05,-7.05397E-05,1,1.034878,0,0,0,1,1,1,0,0,0,-0.0001800785,-7.937785E-05,-6.82575E-05,1,1,0,0,0,1
1742.625,-73.42165,-58.0925,-228.9782,4.56759E-08,-3.197275E-08,-3.313533E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,1.749775E-08,-1.730694E-08,-1.66646E-08,1,1,0,0,0,1,1,1,0,0,0,2.817815E-08,-1.466581E-08,-1.647074E-08,1,1,0,0,0,1
1742.674,-73.42165,-58.0925,-228.9782,1.410159E-07,9.636815E-08,-5.610346E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.37096E-08,4.313059E-08,-1.394226E-08,1,1,0,0,0,1,1,1,0,0,0,4.921179E-08,5.718755E-08,-1.392496E-08,1,1,0,0,0,1
1742.724,-73.42165,-58.0925,-228.9782,4.401859E-08,1.184562E-07,-4.03649E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-5.030222E-08,4.373489E-09,8.636434E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.669505E-08,1.771459E-08,7.102135E-09,0.9999999,1,0,0,0,1
1742.775,-73.42165,-58.0925,-228.9782,1.585099E-07,2.033116E-07,-9.802995E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,5.140476E-08,4.499788E-08,-2.566049E-08,1,1,0,0,0,1,1,1,0,0,0,6.308644E-08,3.985735E-08,-3.200461E-08,1,1,0,0,0,1
1742.825,-73.42165,-58.0925,-228.9782,1.78799E-07,1.94527E-07,-1.123066E-07,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,9.856699E-09,-2.037376E-09,-7.138339E-09,1,1,0,0,0,1,1,1,0,0,0,1.043245E-08,-6.747327E-09,-7.138339E-09,1,1,0,0,0,1
1742.875,-73.42165,-58.0925,-228.9782,1.700219E-07,2.299357E-07,-8.302067E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-4.190746E-09,2.73873E-08,1.722645E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.586363E-09,8.02141E-09,1.205949E-08,0.9999999,1,0,0,0,1
1742.924,-73.42165,-58.0925,-228.9782,1.796577E-07,3.861415E-07,-4.126749E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.858001E-09,8.44601E-08,2.094218E-08,1,1,0,0,0,1,1,1,0,0,0,4.777835E-09,7.174566E-08,2.081102E-08,1,1,0,0,0,1
1742.974,-73.42165,-58.0925,-228.9782,2.050286E-07,4.275882E-07,-2.580331E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,7.679129E-09,3.007955E-08,1.168681E-08,1,1,0,0,0,1,1,1,0,0,0,1.769168E-08,1.13672E-08,3.777346E-09,1,1,0,0,0,1
1743.025,-73.42165,-58.0925,-228.9782,2.88756E-07,4.074516E-07,-8.648838E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.738859E-08,-1.123554E-08,-3.211994E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.633874E-08,-8.901009E-09,-2.856519E-08,0.9999999,1,0,0,0,1
1743.075,-73.42165,-58.0925,-228.9782,3.085572E-07,4.562968E-07,-7.692882E-08,1,1,0.1355052,0.2681788,-0.03813066,0.9530292,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,9.90063E-09,2.442251E-08,4.779766E-09,1,1,0,0,0,1,1,1,0,0,0,9.90063E-09,2.442251E-08,4.779766E-09,1,1,0,0,0,1
1743.125,-73.42165,-58.0925,-228.9782,3.299591E-07,5.616767E-07,-4.715002E-08,1,1,0.1355051,0.2681801,-0.03813082,0.9530288,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,8.987657E-09,5.466337E-08,1.668681E-08,1,1,0,0,0,1,1,1,0,0,0,1.241408E-08,5.071644E-08,1.309203E-08,1,1,0,0,0,1
1743.175,-73.42165,-58.0925,-228.9782,3.519428E-07,5.433202E-07,-4.203881E-08,1,1,0.1355054,0.2681785,-0.03813065,0.9530292,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,1.42022E-08,-1.070883E-08,1.418913E-09,1,1,0,0,0,1,1,1,0,0,0,7.781509E-09,-7.647843E-09,3.692267E-09,1,1,0,0,0,1
1743.225,-73.42165,-58.0925,-228.9782,3.377951E-07,5.82563E-07,-1.194772E-08,1,1,0.1355055,0.2681799,-0.03813092,0.9530288,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-7.073942E-09,1.962136E-08,1.504555E-08,1,1,0,0,0,1,1,1,0,0,0,-7.073942E-09,1.962136E-08,1.504555E-08,1,1,0,0,0,1
1743.275,-73.42165,-58.0925,-228.9782,2.844647E-07,6.467138E-07,3.982626E-08,1,1,0.1355056,0.2681793,-0.03813086,0.9530289,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-2.588333E-08,2.374457E-08,2.256592E-08,1,1,0,0,0,1,1,1,0,0,0,-2.744716E-08,4.0406E-08,2.920814E-08,1,1,0,0,0,1
1743.325,-73.42165,-58.0925,-228.9782,3.323249E-07,6.824573E-07,3.469201E-08,1,1,0.1355063,0.2681797,-0.0381311,0.9530287,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,2.589518E-08,2.459223E-08,-9.013767E-10,1,1,0,0,0,1,1,1,0,0,0,2.196473E-08,1.115117E-08,-4.232906E-09,1,1,0,0,0,1
1743.375,-73.42165,-58.0925,-228.9782,3.834278E-07,6.676698E-07,-1.232161E-08,1,1,0.1355072,0.2681799,-0.03813139,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,1.901507E-08,-1.139562E-08,-2.073181E-08,1,1,0,0,0,1,1,1,0,0,0,3.208782E-08,-3.39193E-09,-2.628183E-08,1,1,0,0,0,1
1743.426,-73.42165,-58.0925,-228.9782,4.601898E-07,7.081704E-07,-5.900937E-08,1,1,0.1355082,0.2681803,-0.03813176,0.9530283,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.016864E-08,2.315927E-08,-2.155049E-08,1,1,0,0,0,1,1,1,0,0,0,3.659329E-08,1.734118E-08,-2.513731E-08,1,1,0,0,0,1
1743.475,-73.42165,-58.0925,-228.9782,4.153281E-07,7.746497E-07,-1.981246E-08,1,1,0.1355082,0.2681806,-0.03813179,0.9530281,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-1.529162E-08,3.092108E-08,1.901084E-08,1,1,0,0,0,1,1,1,0,0,0,-2.957006E-08,3.555819E-08,2.018616E-08,1,1,0,0,0,1
1743.525,-73.42165,-58.0925,-228.9782,4.193026E-07,7.49906E-07,-2.093734E-08,1,1,0.1355088,0.268181,-0.03813203,0.953028,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,7.008968E-10,-2.21717E-08,-4.735778E-10,1,1,0,0,0,1,1,1,0,0,0,3.273528E-09,-2.572299E-09,-6.513092E-10,1,1,0,0,0,1
1743.575,-73.42165,-58.0925,-228.9782,4.090476E-07,6.845316E-07,-6.949906E-08,1,1,0.1355097,0.2681822,-0.03813248,0.9530274,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-6.210437E-09,-3.058429E-08,-2.062672E-08,1,1,0,0,0,1,1,1,0,0,0,-4.044673E-09,-3.479026E-08,-2.793499E-08,1,1,0,0,0,1
1743.63,-73.42165,-58.0925,-228.9782,4.34944E-07,6.526361E-07,-9.993548E-08,1,1,0.1355098,0.268181,-0.0381323,0.9530278,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,1.364837E-08,-8.755304E-09,-1.283385E-08,1,1,0,0,0,1,1,1,0,0,0,1.224794E-08,-2.314021E-08,-1.760263E-08,1,1,0,0,0,1
1743.681,-73.42165,-58.0925,-228.9782,5.072427E-07,6.65223E-07,-1.575473E-07,1,1,0.1355098,0.2681803,-0.03813219,0.953028,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,3.614349E-08,1.070037E-08,-2.795902E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.61551E-08,1.886473E-09,-2.965298E-08,0.9999999,1,0,0,0,1
1743.73,-73.42165,-58.0925,-228.9782,6.23472E-07,8.045971E-07,-1.835741E-07,1,1,0.1355099,0.2681794,-0.03813211,0.9530283,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,6.047718E-08,6.290485E-08,-1.436793E-08,1,1,0,0,0,1,1,1,0,0,0,5.575173E-08,7.646879E-08,-1.165885E-08,1,1,0,0,0,1
1743.781,-73.42165,-58.0925,-228.9782,6.314091E-07,8.662411E-07,-1.799601E-07,1,1,0.13551,0.2681802,-0.03813225,0.953028,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.206177E-09,3.362001E-08,8.785052E-10,1,1,0,0,0,1,1,1,0,0,0,3.730567E-09,2.802406E-08,2.735664E-09,1,1,0,0,0,1
1743.831,-73.42165,-58.0925,-228.9782,5.709497E-07,7.149648E-07,-2.103503E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,-2.180689E-08,-6.631071E-08,-1.718556E-08,1,1,0,0,0,1,1,1,0,0,0,-3.86526E-08,-8.496554E-08,-1.320462E-08,1,1,0,0,0,1
1743.88,-73.42165,-58.0925,-228.9782,6.703444E-07,9.604507E-07,-1.789662E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1,1,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1
1743.931,-73.42165,-58.0925,-228.9782,7.697391E-07,1.205937E-06,-1.475821E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1743.98,-73.42165,-58.0925,-228.9782,8.636121E-07,1.437786E-06,-1.179415E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.031,-73.42165,-58.0925,-228.9782,9.68529E-07,1.69691E-06,-8.481371E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1
1744.081,-73.42165,-58.0925,-228.9782,1.067924E-06,1.942397E-06,-5.342947E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.13,-73.42165,-58.0925,-228.9782,1.167319E-06,2.187885E-06,-2.204522E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.18,-73.42165,-58.0925,-228.9782,1.261192E-06,2.419734E-06,7.595501E-09,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.234,-73.42165,-58.0925,-228.9782,1.371631E-06,2.692498E-06,4.246697E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1
1744.284,-73.42165,-58.0925,-228.9782,1.465505E-06,2.924347E-06,7.210775E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.334,-73.42165,-58.0925,-228.9782,1.570422E-06,3.183474E-06,1.052357E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1
1744.385,-73.42165,-58.0925,-228.9782,1.669818E-06,3.428962E-06,1.366201E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.436,-73.42165,-58.0925,-228.9782,1.769214E-06,3.674451E-06,1.680046E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.486,-73.42165,-58.0925,-228.9782,1.86861E-06,3.91994E-06,1.993891E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.535,-73.42165,-58.0925,-228.9782,1.968006E-06,4.16543E-06,2.307737E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.585,-73.42165,-58.0925,-228.9782,2.067402E-06,4.410918E-06,2.621582E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.635,-73.42165,-58.0925,-228.9782,2.166797E-06,4.656408E-06,2.935428E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1744.685,-73.42165,-58.0925,-228.9782,2.227539E-06,4.80643E-06,3.127222E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,1.104379E-08,2.727612E-08,3.487114E-09,1,1,0,0,0,1
1744.735,-73.42165,-58.0925,-228.9782,2.277237E-06,4.929176E-06,3.284146E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1744.785,-73.42165,-58.0925,-228.9782,2.464985E-06,5.392877E-06,3.876966E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.2054774,7.095211,7.249004,1.836075,2.246583,0.7664053,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,1.380474E-07,3.409516E-07,4.358893E-08,1,1,0,0,0,1
