2,7,Vinho-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1084.752,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,1.154211E-05,1.248325E-07,-7.900774E-07,1,1,0,0,0,1,1,1,-0.02492313,-0.04930156,-0.07154864,1.164332E-05,1.259268E-07,-7.970061E-07,1,1,0,0,0,1
1084.801,-73.42165,-58.0925,-228.9782,3.318207E-08,-3.095812E-08,-2.999656E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,1.392009E-08,-1.676545E-08,-1.66646E-08,1,1,0,0,0,1,1,1,0,0,0,1.926198E-08,-1.419266E-08,-1.333197E-08,1,1,0,0,0,1
1084.851,-73.42165,-58.0925,-228.9782,1.364428E-07,1.394625E-07,-4.804829E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,5.163034E-08,8.521028E-08,-9.025863E-09,1,1,0,0,0,1,1,1,0,0,0,5.163034E-08,8.521028E-08,-9.025863E-09,1,1,0,0,0,1
1084.902,-73.42165,-58.0925,-228.9782,6.847133E-08,2.003946E-07,-2.880684E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,-3.095168E-08,3.02695E-08,1.097169E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-3.701979E-08,3.066259E-08,8.269761E-09,0.9999999,1,0,0,0,1
1084.951,-73.42165,-58.0925,-228.9782,1.262936E-07,1.997272E-07,-5.72495E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,1.844188E-08,-3.129498E-08,-1.177908E-08,1,1,0,0,0,1,1,1,0,0,0,3.938035E-08,3.062745E-08,-1.666363E-08,1,1,0,0,0,1
1085.001,-73.42165,-58.0925,-228.9782,1.24052E-07,2.069752E-07,-5.856754E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,1.044218E-09,2.032478E-09,-1.558773E-10,1,1,0,0,0,1,1,1,0,0,0,-3.285819E-09,5.215542E-09,-1.162157E-09,1,1,0,0,0,1
1085.051,-73.42165,-58.0925,-228.9782,1.165777E-07,1.655928E-07,-6.267492E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,-7.419511E-09,-4.554234E-08,-3.298185E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-5.483622E-11,4.15986E-09,-8.091918E-10,0.9999999,1,0,0,0,1
1085.101,-73.42165,-58.0925,-228.9782,1.479686E-07,3.944312E-07,7.514879E-10,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,7.912152E-09,1.08351E-07,3.149471E-08,1,1,0,0,0,1,1,1,0,0,0,2.347885E-08,1.204874E-07,3.193173E-08,1,1,0,0,0,1
1085.151,-73.42165,-58.0925,-228.9782,1.713967E-07,4.227814E-07,1.246127E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,7.608013E-09,1.434167E-08,8.798992E-09,1,1,0,0,0,1,1,1,0,0,0,1.582005E-08,1.400855E-08,2.910761E-09,1,1,0,0,0,1
1085.201,-73.42165,-58.0925,-228.9782,2.779488E-07,4.625408E-07,-3.741882E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,2.148539,6.082557,6.738219,1.671063,2.478239,1.82551,0,1,0,0,0,5.042564E-08,2.760796E-08,-2.008035E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,5.612629E-08,1.215153E-08,-2.979981E-08,0.9999999,1,0,0,0,1
