2,7,Vinicius & Diogo-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2196.128,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,7.119588E-07,5.098962E-06,1.081893E-05,1,1,0,0,0,1,1,1,-0.07576382,0.00413277,-0.03119669,0.09909716,-0.136298,0.3320432,0.9280701,1,0,0,0,1
2196.178,-73.42165,-58.0925,-228.9782,3.692278E-08,-3.205611E-08,-2.865906E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,1.846139E-08,-1.602805E-08,-1.432953E-08,1,1,0,0,0,1,1,1,0,0,0,1.846139E-08,-1.602805E-08,-1.432953E-08,1,1,0,0,0,1
2196.228,-73.42165,-58.0925,-228.9782,1.23072E-07,1.118266E-07,-5.073624E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,3.911421E-08,5.090147E-08,-1.349679E-08,1,1,0,0,0,1,1,1,0,0,0,4.703496E-08,9.298117E-08,-8.580385E-09,1,1,0,0,0,1
2196.278,-73.42165,-58.0925,-228.9782,5.453487E-08,1.101604E-07,-4.041588E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-4.473545E-08,1.708796E-08,9.780252E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-2.380168E-08,-1.875413E-08,5.401189E-10,1,1,0,0,0,1
2196.328,-73.42165,-58.0925,-228.9782,1.105784E-07,1.429735E-07,-7.111424E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.604355E-08,3.2813E-08,-3.069837E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
2196.379,-73.42165,-58.0925,-228.9782,1.006821E-07,1.475796E-07,-7.873151E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.602693E-09,-1.27391E-08,-1.286526E-08,1,1,0,0,0,1,1,1,0,0,0,-1.549903E-08,1.734526E-08,5.247955E-09,1,1,0,0,0,1
2196.429,-73.42165,-58.0925,-228.9782,1.091704E-07,1.285099E-07,-7.242244E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.244156E-09,-9.5349E-09,3.154545E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,4.244156E-09,-9.5349E-09,3.154545E-09,0.9999999,1,0,0,0,1
2196.478,-73.42165,-58.0925,-228.9782,9.20369E-08,2.393794E-07,-3.571479E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-4.787753E-09,5.906772E-08,1.416648E-08,1,1,0,0,0,1,1,1,0,0,0,-1.234574E-08,5.180177E-08,2.254119E-08,1,1,0,0,0,1
2196.529,-73.42165,-58.0925,-228.9782,1.161102E-07,2.289435E-07,-3.058569E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,6.994798E-09,-3.730715E-09,5.075364E-09,1,1,0,0,0,1,1,1,0,0,0,1.707846E-08,-6.705182E-09,5.371654E-11,1,1,0,0,0,1
2196.579,-73.42165,-58.0925,-228.9782,1.963386E-07,2.087694E-07,-9.328206E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.799811E-08,3.998461E-09,-2.99539E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.223024E-08,-2.417262E-08,-3.27425E-08,0.9999999,1,0,0,0,1
2196.628,-73.42165,-58.0925,-228.9782,2.209521E-07,2.220016E-07,-1.005697E-07,1,1,0.1355052,0.2681788,-0.03813066,0.9530292,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,9.029325E-09,2.792138E-09,-2.683433E-09,1,1,0,0,0,1,1,1,0,0,0,1.558418E-08,1.043998E-08,-4.604269E-09,1,1,0,0,0,1
2196.679,-73.42165,-58.0925,-228.9782,2.303945E-07,3.390249E-07,-6.145365E-08,1,1,0.1355051,0.2681801,-0.03813082,0.9530288,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,8.987657E-09,5.466337E-08,1.668681E-08,1,1,0,0,0,1,1,1,0,0,0,4.547616E-10,6.235987E-08,2.242929E-08,1,1,0,0,0,1
2196.729,-73.42165,-58.0925,-228.9782,2.523782E-07,3.206683E-07,-5.634246E-08,1,1,0.1355054,0.2681785,-0.03813065,0.9530292,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,7.781509E-09,-7.647843E-09,3.692267E-09,1,1,0,0,0,1,1,1,0,0,0,1.42022E-08,-1.070883E-08,1.418913E-09,1,1,0,0,0,1
2196.778,-73.42165,-58.0925,-228.9782,2.664772E-07,3.877466E-07,-2.923321E-08,1,1,0.1355055,0.2681799,-0.03813092,0.9530288,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.013296E-09,4.784005E-08,1.521448E-08,1,1,0,0,0,1,1,1,0,0,0,1.008547E-08,1.923818E-08,1.189477E-08,1,1,0,0,0,1
2196.828,-73.42165,-58.0925,-228.9782,2.21576E-07,4.874875E-07,4.806283E-08,1,1,0.1355056,0.2681793,-0.03813086,0.9530289,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-1.939756E-08,5.272981E-08,4.068387E-08,1,1,0,0,0,1,1,1,0,0,0,-2.550363E-08,4.70109E-08,3.661222E-08,1,1,0,0,0,1
2196.879,-73.42165,-58.0925,-228.9782,2.882117E-07,5.39939E-07,5.614848E-08,1,1,0.1355063,0.2681797,-0.0381311,0.9530287,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,2.549962E-08,1.367068E-08,5.111592E-10,1,1,0,0,0,1,1,1,0,0,0,4.11359E-08,3.878078E-08,7.574458E-09,1,1,0,0,0,1
2196.929,-73.42165,-58.0925,-228.9782,3.298472E-07,5.139873E-07,1.143206E-08,1,1,0.1355072,0.2681799,-0.03813139,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,2.262039E-08,-1.455629E-08,-2.398464E-08,1,1,0,0,0,1,1,1,0,0,0,1.901507E-08,-1.139562E-08,-2.073181E-08,1,1,0,0,0,1
2196.978,-73.42165,-58.0925,-228.9782,4.19097E-07,5.582132E-07,-2.519656E-08,1,1,0.1355082,0.2681803,-0.03813176,0.9530283,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.320039E-08,2.317062E-08,-2.366082E-08,1,1,0,0,0,1,1,1,0,0,0,4.604932E-08,2.105505E-08,-1.296785E-08,1,1,0,0,0,1
2197.028,-73.42165,-58.0925,-228.9782,3.9445E-07,6.195884E-07,8.492936E-09,1,1,0.1355082,0.2681806,-0.03813179,0.9530281,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-1.23235E-08,3.068755E-08,1.684477E-08,1,1,0,0,0,1,1,1,0,0,0,-1.23235E-08,3.068755E-08,1.684477E-08,1,1,0,0,0,1
2197.08,-73.42165,-58.0925,-228.9782,3.738197E-07,6.011326E-07,3.868774E-08,1,1,0.1355088,0.268181,-0.03813203,0.953028,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-7.835657E-09,-2.196566E-08,9.715105E-09,1,1,0,0,0,1,1,1,0,0,0,-1.279457E-08,3.509778E-09,2.04797E-08,1,1,0,0,0,1
2197.128,-73.42165,-58.0925,-228.9782,3.604128E-07,5.209288E-07,-1.097113E-08,1,1,0.1355097,0.2681822,-0.03813248,0.9530274,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-8.602595E-09,-5.120662E-08,-3.092132E-08,1,1,0,0,0,1,1,1,0,0,0,-4.804441E-09,-2.89973E-08,-1.873756E-08,1,1,0,0,0,1
2197.179,-73.42165,-58.0925,-228.9782,3.725028E-07,4.54451E-07,-2.747523E-08,1,1,0.1355098,0.268181,-0.0381323,0.9530278,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,1.205551E-08,-1.86924E-08,-5.657093E-09,1,1,0,0,0,1,1,1,0,0,0,3.443449E-11,-4.778564E-08,-1.084706E-08,1,1,0,0,0,1
2197.229,-73.42165,-58.0925,-228.9782,4.377555E-07,4.904325E-07,-7.017746E-08,1,1,0.1355098,0.2681803,-0.03813219,0.953028,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,3.416427E-08,1.897527E-08,-2.163036E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.51706E-08,9.617322E-09,-2.75373E-08,0.9999999,1,0,0,0,1
2197.279,-73.42165,-58.0925,-228.9782,4.906028E-07,6.362339E-07,-6.532097E-08,1,1,0.1355099,0.2681794,-0.03813211,0.9530283,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,1.450552E-08,6.510314E-08,1.122673E-08,1,1,0,0,0,1,1,1,0,0,0,3.834167E-08,8.069823E-08,-6.370172E-09,1,1,0,0,0,1
2197.329,-73.42165,-58.0925,-228.9782,4.593892E-07,7.159001E-07,-3.901091E-08,1,1,0.13551,0.2681802,-0.03813225,0.953028,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-2.480948E-08,6.257631E-08,2.095949E-08,1,1,0,0,0,1,1,1,0,0,0,-6.404159E-09,1.708989E-08,5.350674E-09,1,1,0,0,0,1
2197.378,-73.42165,-58.0925,-228.9782,3.559242E-07,4.452923E-07,-8.589957E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,-5.041178E-08,-1.346699E-07,-2.566231E-08,1,1,0,0,0,1,1,1,0,0,0,-5.305317E-08,-1.35938E-07,-2.122639E-08,1,1,0,0,0,1
2197.429,-73.42165,-58.0925,-228.9782,4.608406E-07,7.04416E-07,-5.277192E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1
2197.478,-73.42165,-58.0925,-228.9782,5.547132E-07,9.362639E-07,-2.313138E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1
2197.528,-73.42165,-58.0925,-228.9782,6.596299E-07,1.195388E-06,9.99633E-09,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.579,-73.42165,-58.0925,-228.9782,7.590248E-07,1.440875E-06,4.138051E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.628,-73.42165,-58.0925,-228.9782,8.584195E-07,1.686361E-06,7.276471E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.679,-73.42165,-58.0925,-228.9782,9.633364E-07,1.945486E-06,1.058925E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.728,-73.42165,-58.0925,-228.9782,1.062731E-06,2.190973E-06,1.372768E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.778,-73.42165,-58.0925,-228.9782,1.162126E-06,2.436461E-06,1.686611E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.829,-73.42165,-58.0925,-228.9782,1.267043E-06,2.695587E-06,2.01789E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.878,-73.42165,-58.0925,-228.9782,1.349873E-06,2.90016E-06,2.279426E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,3.865327E-08,9.546642E-08,1.22049E-08,1,1,0,0,0,1,1,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1
2197.929,-73.42165,-58.0925,-228.9782,1.45479E-06,3.159285E-06,2.610705E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2197.979,-73.42165,-58.0925,-228.9782,1.559707E-06,3.418411E-06,2.941985E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
2198.029,-73.42165,-58.0925,-228.9782,1.670146E-06,3.691175E-06,3.2907E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,1.19126,5.634771,5.924802,1.937333,2.768713,2.25527,0,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1,1,1,0,0,0,5.521895E-08,1.363806E-07,1.743557E-08,1,1,0,0,0,1
