2,3,Yeo-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
49.81759,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
49.866,0.977,-0.187,-1.75,1.763425E-09,-1.759269E-08,4.397379E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.612943E-08,2.629626E-09,-1.945219E-09,1,1,0,0,0,1,1,1,0,0,0,-2.436599E-08,-2.022232E-08,6.342592E-09,0.9999996,1,0,0,0,1
49.91624,0.977,-0.187,-1.75,1.233127E-08,-5.64407E-08,4.507652E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,8.234242E-09,-1.631048E-08,4.778926E-10,1,1,0,0,0,1,1,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1
49.9655,0.977,-0.187,-1.75,3.661464E-08,-6.020655E-08,-5.042359E-10,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.214167E-08,-1.882932E-09,-2.505944E-09,1,1,0,0,0,1,1,1,0,0,0,1.214167E-08,-1.882932E-09,-2.505944E-09,1,1,0,0,0,1
50.01488,0.977,-0.187,-1.75,2.478444E-07,2.989117E-08,-9.643568E-09,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,5.621033E-08,2.503361E-08,-7.528415E-09,1,1,0,0,0,1,1,1,0,0,0,1.550194E-07,6.506412E-08,-1.610891E-09,1,1,0,0,0,1
50.06564,0.977,-0.187,-1.75,2.966237E-07,3.088872E-09,-2.900411E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.530183E-08,-3.295137E-08,-2.189818E-08,1,1,0,0,0,1,1,1,0,0,0,3.347745E-08,6.149079E-09,2.537626E-09,1,1,0,0,0,1
50.11618,0.977,-0.187,-1.75,3.30033E-07,-6.63245E-08,-4.783605E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.699562E-08,-3.307476E-08,-1.025308E-08,1,1,0,0,0,1,1,1,0,0,0,1.641376E-08,-3.633862E-08,-8.578885E-09,1,1,0,0,0,1
50.16562,0.977,-0.187,-1.75,3.387674E-07,-6.133756E-08,-2.547401E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.555732E-09,1.077421E-08,9.559995E-09,0.9999998,1,0,0,0,1,1,1,0,0,0,5.178779E-09,-5.787245E-09,1.280205E-08,0.9999997,1,0,0,0,1
50.21671,0.977,-0.187,-1.75,3.814623E-07,-3.081755E-08,-1.609516E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.271802E-08,2.12491E-08,3.536681E-09,1,1,0,0,0,1,1,1,0,0,0,1.997673E-08,9.270922E-09,5.842165E-09,1,1,0,0,0,1
50.26621,0.977,-0.187,-1.75,3.760554E-07,-4.633937E-09,-1.078886E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,-4.112373E-08,1.63486E-08,1.192266E-08,1,1,0,0,0,1,1,1,0,0,0,3.571689E-08,9.83501E-09,-6.61633E-09,1,1,0,0,0,1
