2,3,Yoann-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
67.6887,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
67.73728,0.977,-0.187,-1.75,-3.321451E-09,-1.206654E-08,-6.83037E-10,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.506374E-08,6.777701E-09,-7.371111E-09,1,1,0,0,0,1,1,1,0,0,0,-2.838519E-08,-1.884423E-08,6.688071E-09,0.9999996,1,0,0,0,1
67.78774,0.977,-0.187,-1.75,2.254797E-08,1.246067E-08,1.699021E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.373234E-09,2.011553E-08,9.558233E-09,1,1,0,0,0,1,1,1,0,0,0,2.824265E-08,4.411669E-09,8.115014E-09,1,1,0,0,0,1
67.83829,0.977,-0.187,-1.75,1.245104E-08,-3.981735E-09,1.115724E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.544269E-08,-3.570098E-09,-3.945198E-09,1,1,0,0,0,1,1,1,0,0,0,-2.553964E-08,-1.28723E-08,-1.192929E-08,1,1,0,0,0,1
67.88754,0.977,-0.187,-1.75,5.895228E-08,3.198459E-08,2.77568E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.48165E-08,1.790847E-08,9.886802E-09,1,1,0,0,0,1,1,1,0,0,0,2.168474E-08,1.805785E-08,1.675428E-08,1,1,0,0,0,1
67.93602,0.977,-0.187,-1.75,1.41898E-07,4.415594E-08,1.796698E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,5.29663E-08,1.415728E-08,-9.875536E-10,1,1,0,0,0,1,1,1,0,0,0,2.997937E-08,-1.985918E-09,-8.802269E-09,1,1,0,0,0,1
67.98776,0.977,-0.187,-1.75,1.789896E-07,-2.706251E-08,-2.644625E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.431569E-08,-3.35233E-08,-9.509756E-09,1,1,0,0,0,1,1,1,0,0,0,2.277594E-08,-3.769514E-08,-1.110187E-08,1,1,0,0,0,1
68.03529,0.977,-0.187,-1.75,2.353517E-07,2.600394E-08,2.951606E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.184451E-08,1.655121E-08,2.947841E-09,1,1,0,0,0,1,1,1,0,0,0,2.451763E-08,3.651524E-08,2.921286E-08,1,1,0,0,0,1
68.08697,0.977,-0.187,-1.75,2.872795E-07,5.65261E-08,3.233477E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.883425E-08,2.460242E-08,-9.369588E-10,1,1,0,0,0,1,1,1,0,0,0,1.30935E-08,5.919745E-09,3.755678E-09,1,1,0,0,0,1
68.13794,0.977,-0.187,-1.75,3.544666E-07,8.268747E-08,2.786935E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,4.749911E-08,1.301008E-08,-6.075138E-09,1,1,0,0,0,1,1,1,0,0,0,1.968793E-08,1.315125E-08,1.609728E-09,1,1,0,0,0,1
