2,3,Yutaka-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
42.34475,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
42.39106,0.977,-0.187,-1.75,4.374628E-08,1.77461E-08,-4.581597E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.190033E-08,-1.372849E-10,2.410802E-10,1,1,0,0,0,1,1,1,0,0,0,2.184594E-08,1.788339E-08,-4.822676E-09,1,1,0,0,0,1
42.43941,0.977,-0.187,-1.75,1.189304E-07,2.072055E-09,-3.552764E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1,1,1,0,0,0,7.285053E-08,6.86348E-09,1.396439E-09,1,1,0,0,0,1
42.49002,0.977,-0.187,-1.75,1.64216E-07,2.86847E-10,-1.297184E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,7.610524E-09,-2.244636E-09,-1.48177E-09,1,1,0,0,0,1,1,1,0,0,0,3.767508E-08,4.594294E-10,-7.937303E-09,1,1,0,0,0,1
42.5412,0.977,-0.187,-1.75,1.843688E-07,1.569031E-08,-2.044764E-09,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.01528E-08,1.540347E-08,1.092707E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
42.58912,0.977,-0.187,-1.75,-8.538532E-09,2.130844E-08,2.83307E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,-5.555095E-08,-2.610953E-08,-5.378335E-09,1,1,0,0,0,1,1,1,0,0,0,-1.373564E-07,3.172765E-08,3.57538E-08,1,1,0,0,0,1
42.64051,0.977,-0.187,-1.75,-3.012086E-08,2.858176E-08,2.257602E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,-3.136117E-08,8.961699E-09,8.374562E-10,1,1,0,0,0,1,1,1,0,0,0,9.778817E-09,-1.688378E-09,-6.592133E-09,1,1,0,0,0,1
42.68988,0.977,-0.187,-1.75,-3.520908E-08,5.881403E-09,2.529003E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.437392E-08,-8.103199E-09,-6.102215E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-1.946214E-08,-1.459716E-08,8.816224E-09,0.9999996,1,0,0,0,1
42.74007,0.977,-0.187,-1.75,-2.662953E-09,3.009821E-08,2.476455E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.187643E-08,2.590839E-08,2.634915E-09,1,1,0,0,0,1,1,1,0,0,0,-4.702372E-09,-2.809369E-09,-1.669184E-09,1,1,0,0,0,1
42.78942,0.977,-0.187,-1.75,-2.70927E-08,2.882942E-08,2.080993E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.442974E-08,-1.268797E-09,-3.954623E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
