S,0
T,0.1352997,0.1403809
T,0.5012512,3.61705
T,0.5014801,4.236221
T,0.3787231,4.746368
T,0.3426361,5.190414
T,0.3593292,5.675674
T,0.2735443,6.130295
T,0.2550964,6.535477
T,0.253418,6.903992
T,0.2396088,7.253616
T,0.2611237,7.625031
T,0.3106842,8.419815
T,0.3567963,9.036545
T,0.2631378,9.442047
T,0.3421326,9.960297
T,0.3230896,10.38893
T,0.3368378,10.83296
T,0.3351746,11.39899
T,0.4302521,13.0981
T,0.3039551,13.53084
T,0.2453461,14.00975
T,0.5921631,18.27592
R,1.583771,21.43626
T,0.02412415,24.47124
T,0.009887695,24.48627
T,0.006271362,24.73595
T,0.003707886,24.74599
T,0.01156616,24.77014
T,0.01000977,24.78644
R,1.092834,25.87355
R,1.034103,27.79581
T,0.1428375,28.28543
R,0.8137207,29.18542
T,0.3540955,32.95946
T,0.5514374,34.40666
T,0.3327942,36.48697
T,0.4675598,42.63829
T,0.3337097,43.43971
T,0.3299408,44.23868
T,0.3211517,45.78416
T,0.3675232,46.32289
T,0.3529816,46.94379
T,0.2611694,47.46614
T,0.2667389,47.90755
T,0.00553894,48.47917
T,0.01217651,48.49919
T,0.01226807,48.51642
T,0.005554199,48.52864
T,0.0111084,48.55087
T,0.01242065,48.56885
T,0.01347351,48.58557
T,0.01760864,48.60861
T,0.3971252,49.42685
T,0.005523682,49.96979
T,0.007141113,49.99245
T,0.01560974,50.01527
T,0.004318237,50.02957
T,0.01190186,50.049
T,0.012146,50.07236
T,0.02206421,50.0999
T,0.01535034,50.11853
T,0.01660156,50.14072
R,1.730408,52.88316
T,0.5208588,55.69455
T,0.4940033,56.41389
T,0.2344208,56.8089
T,0.2373199,57.23636
T,0.2138367,57.60364
T,0.5327606,58.38986
T,0.2612915,58.9523
T,0.2064667,59.36522
T,0.217392,59.72354
T,0.2911835,60.11009
T,0.3935699,61.18175
T,0.2300568,63.33026
T,0.2693481,64.34499
T,0.3194275,65.21007
T,0.3458252,66.12437
T,0.005004883,66.68777
T,0.02209473,66.71632
T,0.005142212,66.7281
T,0.01158142,66.75121
T,0.0103302,66.7693
T,0.01652527,66.78583
T,0.01020813,66.80113
T,0.01121521,66.82849
R,0.8933411,69.43877
S,1
RUNTIME,202.0195
