2,7,zGt-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
570.6928,-73.54831,-58.51069,-229.314,0,0,0,1,1,0.1367765,0.2683053,-0.03851596,0.9527964,0,0,0,0,3.45885,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,-0.4136635,-0.7744497,-0.1532302,-3.090956E-07,4.296006E-06,-3.692793E-06,1,1,0,0,0,1,1,1,-0.01962489,-0.6272349,-0.9560544,-2.46303E-07,4.191091E-06,-3.686072E-06,1,1,0,0,0,1
570.7422,-73.80821,-59.22221,-229.9713,-1.053362E-07,-1.020493E-07,8.250962E-08,1,1,0.1512561,0.2697514,-0.04294871,0.9500059,0,-0.01072693,0.07653809,-0.004150391,5.040503,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-3.149064E-08,-6.138499E-08,9.151021E-09,1,1,0,0,0,1,1,1,0,0,0,-1.654739E-08,-4.990413E-08,-4.146641E-09,1,1,0,0,0,1
570.7925,-73.87605,-59.16951,-230.0911,-1.210796E-07,-1.323708E-07,7.350175E-08,1,1,0.1668747,0.271385,-0.0478377,0.9466861,0,-0.002365112,0.01688766,-0.0009155273,5.394477,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-1.296461E-08,-2.064645E-08,-3.670325E-09,1,1,0,0,0,1,1,1,0,0,0,-2.778775E-09,-9.675009E-09,-5.337554E-09,1,1,0,0,0,1
570.8431,-73.8876,-59.15965,-230.1113,-1.283802E-07,-2.167166E-09,1.334622E-07,1,1,0.1813916,0.2729219,-0.0524802,0.9433221,0,-0.0003967285,0.00283432,-0.0001525879,5.486977,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-3.128937E-09,7.367124E-08,3.461971E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.17166E-09,5.653235E-08,2.534069E-08,0.9999999,1,0,0,0,1
570.8922,-73.88953,-59.15799,-230.1147,-1.695235E-07,-1.844585E-07,9.701073E-08,1,1,0.1945611,0.2743111,-0.05677443,0.9400405,0,-6.866455E-05,0.0004768372,-3.051758E-05,5.508237,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-3.250958E-08,-8.155814E-08,-8.813929E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-8.633631E-09,-1.007332E-07,-2.763755E-08,0.9999999,1,0,0,0,1
570.9428,-73.88985,-59.15771,-230.1152,-2.665195E-07,-1.348558E-07,1.127021E-07,1,1,0.2060155,0.2755155,-0.06057644,0.9370055,0,-1.525879E-05,8.392334E-05,0,5.512781,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-8.54027E-08,2.717552E-08,1.088748E-08,0.9999996,1,0,0,0,1,1,1,0,0,0,-1.159338E-08,2.242715E-08,4.803881E-09,0.9999999,1,0,0,0,1
570.9929,-73.88991,-59.15766,-230.1153,-1.210859E-07,-1.939555E-07,5.107304E-08,1,1,0.2155614,0.276518,-0.06379507,0.9343454,0,0,1.525879E-05,0,5.513699,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,6.88338E-08,-2.092155E-08,-3.533428E-08,1,1,0,0,0,1,1,1,0,0,0,7.659986E-08,-3.817814E-08,-2.629474E-08,1,1,0,0,0,1
571.0427,-73.88991,-59.15765,-230.1153,-3.389234E-07,-2.1558E-07,1.514906E-07,1,1,0.2232408,0.2773244,-0.0664188,0.9321176,0,0,0,0,5.513861,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-1.107988E-07,-2.55913E-08,5.220729E-08,1,1,0,0,0,1,1,1,0,0,0,-1.103033E-07,-1.09002E-08,5.033046E-08,1,1,0,0,0,1
571.0926,-73.88991,-59.15765,-230.1153,-4.126757E-07,-4.093525E-07,1.015004E-07,1,1,0.2292638,0.2779602,-0.06849966,0.9303139,0,0,0,0,5.513874,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,-3.747381E-08,-1.470717E-07,-3.13472E-08,1,1,0,0,0,1,1,1,0,0,0,-3.30138E-08,-3.183369E-08,-2.076335E-08,1,1,0,0,0,1
571.1423,-73.88991,-59.15765,-230.1153,-3.649581E-07,-4.036086E-07,3.57238E-08,1,1,0.2339112,0.2784477,-0.07011815,0.9288896,0,0,0,0,5.513874,0.1901806,7.28168,5.738645,2.374264,0.6047202,0.9408794,0,1,0,0,0,1.621936E-08,9.383503E-10,-3.056321E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.149843E-08,4.805321E-09,-3.521335E-08,0.9999999,1,0,0,0,1
