Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
250.9474,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,4743.385,3791.875,0,0,0,0,0,0,0,1,0,0,0,4.422385E-08,-6.987844E-09,2.003876E-09,1,1,0,0,0,1,1,1,0,0,0,4.629067E-08,-7.314459E-09,2.211582E-09,1,1,0,0,0,1,2,1,0,0,0,4.569062E-08,-7.218798E-09,-2.892129E-10,1,1,0,0,0,1,3,1,0.5205871,0.2764007,0.1371977,4.706573E-08,-7.43694E-09,2.289472E-09,1,1,0,0,0,1
250.9974,0,0,0,2.671559E-09,-4.043405E-08,1.721383E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,2,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,3,1,0,0,0,7.732854E-10,-1.205727E-08,1.225062E-08,1,1,0,0,0,1
251.0475,0,0,0,9.448389E-09,-6.457748E-08,-1.882955E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,1,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,2,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,3,1,0,0,0,1.945439E-09,-6.618042E-09,-6.169535E-09,1,1,0,0,0,1
251.0973,0,0,0,1.479574E-08,-7.532039E-08,-9.906644E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,122.8797,147.4857,143.0028,136.9141,124.7042,115.9231,109.0763,124.8622,0,1,0,0,0,1.337318E-09,-2.226286E-09,-1.672729E-08,1,1,0,0,0,1,1,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,2,1,0,0,0,1.080614E-09,-2.818607E-09,-2.472228E-08,1,1,0,0,0,1,3,1,0,0,0,1.432012E-09,-3.233577E-09,-2.035202E-08,1,1,0,0,0,1
251.1481,0,0,0,1.940959E-08,-1.004373E-07,-1.388425E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,1,1,0,0,0,1.031396E-09,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1,2,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1,3,1,0,0,0,1.222163E-09,-6.95024E-09,-1.043751E-08,1,1,0,0,0,1
251.1973,0,0,0,1.841453E-08,-4.207991E-08,-2.653184E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,1.405453E-11,1.390212E-08,-3.110931E-08,1,1,0,0,0,1,1,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1,2,1,0,0,0,-1.978688E-10,1.53264E-08,-3.430161E-08,1,1,0,0,0,1,3,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1
251.2469,0,0,0,2.086838E-08,3.57681E-08,-3.84724E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,131.9819,158.4106,153.5957,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,1,1,0,0,0,6.760121E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,3,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
251.298,0,0,0,1.819022E-08,9.084208E-08,-4.485026E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,136.533,163.873,158.892,152.1268,138.5603,128.8034,121.1959,138.7358,0,1,0,0,0,-9.280309E-10,1.44857E-08,-1.525529E-08,1,1,0,0,0,1,1,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,2,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,3,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1
251.3473,0,0,0,5.391744E-09,1.239286E-07,-5.564255E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,-3.627344E-09,9.326516E-09,-2.608828E-08,1,1,0,0,0,1,1,1,0,0,0,-3.844148E-09,1.10642E-08,-2.89577E-08,1,1,0,0,0,1,2,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1,3,1,0,0,0,-2.363181E-09,6.37756E-09,-2.647469E-08,1,1,0,0,0,1
251.3971,0,0,0,-4.558299E-09,1.20592E-07,-7.185938E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,131.9819,158.4106,153.5957,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,-1.144351E-09,-2.575212E-09,-3.597801E-08,1,1,0,0,0,1,1,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,2,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1,3,1,0,0,0,-3.830683E-09,9.069597E-10,-4.510608E-08,1,1,0,0,0,1
